name,train_volumes,source
left anterior choroidal artery part of the internal carotid,1,table10_train
left anterior eyeball,84,table10_train
left anterior inferior cerebellar artery,50,table10_train
left anterior internal frontal artery,1,table10_train
left ascending lumbar vein,1,table10_train
left atrial appendage,1228,table10_train
left atrial scars,60,table10_train
left atrium,2516,table10_train+table7_test
left atrium and pulmonary veins,137,table10_train
left atrium endocardium,154,table10_train
left atrium wall,154,table10_train
left autochthon,4514,table10_train
left banks superior temporal sulcus,10,table10_train
left basal vein of rosenthal,25,table10_train
left biceps femoris long head muscle,78,table10_train
left biceps femoris short head muscle,78,table10_train
left brachiocephalic vein,1761,table10_train
left brain lateral ventricle,158,table10_train
left breast,1086,table10_train+table7_test
left calcaneous bone,78,table10_train
left carotid artery,98,table10_train
left carotid terminus,1,table10_train
left caudal anterior cingulate,10,table10_train
left caudal middle frontal,10,table10_train
left caudate,3654,table10_train
left caudate nucleus,158,table10_train
left cerebellar hemisphere,10,table10_train
left cerebellum cortex,3644,table10_train
left cerebellum white matter,3644,table10_train
left cerebral cortex,3644,table10_train
left cerebral white matter,3654,table10_train
left cheek,533,table10_train
left clavicula,3974,table10_train
left cochlea,3539,table10_train+table7_test
left colic artery,1,table10_train
left colic vein,1,table10_train
left common carotid artery,1931,table10_train
left common carotid artery false lumen,120,table10_train
left common femoral artery,1,table10_train
left common femoral vein,1,table10_train
left common iliac artery,172,table10_train
left common iliac artery false lumen,120,table10_train
left common iliac vein,1,table10_train
left coronary artery,30,table10_train
left cuboid bone,78,table10_train
left cuneus,10,table10_train
left deep circumflex iliac artery,1,table10_train
left deep femoral artery,1,table10_train
left entorhinal,10,table10_train
left epigastric vein,1,table10_train
left eustachian tube bone,120,table10_train
left extensor digitorum longus muscle,78,table10_train
left extensor hallucis longus muscle,78,table10_train
left external carotid artery,25,table10_train
left external iliac artery,51,table10_train
left external iliac vein,1,table10_train
left external oblique,1,table10_train
left eye,3505,table10_train+table7_test
left eyeball neck,533,table10_train
left femoral artery,121,table10_train
left femoral head,604,table10_train
left femoral vein,1,table10_train
left femur,3974,table10_train
left femur bone,78,table10_train
left femur distal cartilage,78,table10_train
left femur head cartilage,78,table10_train
left fibula,1597,table10_train
left fibula bone,78,table10_train
left fingers,1597,table10_train
left flexor digitorum longus muscle,78,table10_train
left flexor hallucis longus muscle,78,table10_train
left frontal pole,10,table10_train
left fusiform gyrus,10,table10_train
left gastric artery,1,table10_train
left gastrocnemius lateral muscle,78,table10_train
left gastrocnemius medial muscle,78,table10_train
left gemellus inferior,1,table10_train
left gemellus superior,1,table10_train
left gluteus maximus,4611,table10_train
left gluteus maximus muscle,78,table10_train
left gluteus medius,4611,table10_train
left gluteus medius muscle,78,table10_train
left gluteus minimus,4071,table10_train
left gluteus minimus muscle,78,table10_train
left gonadal vein,2,table10_train
left gracilis,1,table10_train
left gracilis muscle,78,table10_train
left great saphenous vein,1,table10_train
left hepatic artery,1,table10_train
left hepatic vein,1,table10_train
left hip bone,5720,table10_train
left hippocampus,3932,table10_train
left hippocampus cornu ammonis 1,20,table10_train
left hippocampus cornu ammonis 2,20,table10_train
left hippocampus cornu ammonis 3,20,table10_train
left hippocampus cornu ammonis 4 and gyrus dentatus,20,table10_train
left hippocampus entorhinal cortex,20,table10_train
left hippocampus subiculum,20,table10_train
left hippocampus tail,20,table10_train
left humerus,3974,table10_train
left iliac artery,4514,table10_train
left iliac vena,4514,table10_train
left iliacus,1,table10_train
left iliocostalis lumborum,1,table10_train
left iliopsoas,4610,table10_train
left illiacus muscle,78,table10_train
left inferior alveolar canal,532,table10_train
left inferior epigastric artery,1,table10_train
left inferior gemellus muscle,78,table10_train
left inferior gluteal artery,1,table10_train
left inferior gluteal vein,1,table10_train
left inferior lateral ventricle,3644,table10_train
left inferior parietal,10,table10_train
left inferior rectal vein,1,table10_train
left inferior temporal,10,table10_train
left inferior vesical veins,1,table10_train
left inner ear,50,table10_train
left insula,10,table10_train
left intermediate cuneiform bone,78,table10_train
left intermediate internal frontal artery,1,table10_train
left internal auditory canal,120,table10_train
left internal carotid artery,833,table10_train
left internal iliac artery,51,table10_train
left internal iliac vein,1,table10_train
left internal jugular vein,533,table10_train
left internal oblique,1,table10_train
left internal pudendal artery and vein,1,table10_train
left ischiocavernosus,1,table10_train
left isthmus cingulate,10,table10_train
left kidney,5666,table10_train+table7_test
