name,train_volumes,source
right posteromedial central arteries,1,table10_train
right precentral gyrus,10,table10_train
right precuneal branches,1,table10_train
right precuneus,10,table10_train
right prefrontal artery,1,table10_train
right psoas,1,table10_train
right psoas major muscle,78,table10_train
right pubic veins,1,table10_train
right putamen,3654,table10_train
right quadratus femoris,1,table10_train
right quadratus femoris muscle,78,table10_train
right quadratus lumborum,1,table10_train
right radius,1597,table10_train
right rectus abdominis,1,table10_train
right rectus femoris,1,table10_train
right rectus femoris muscle,78,table10_train
right renal artery,171,table10_train
right renal vein,1,table10_train
right rostral anterior cingulate,10,table10_train
right rostral middle frontal,10,table10_train
right sartorius,1,table10_train
right sartorius muscle,78,table10_train
right scapula,3974,table10_train
right semimembranosus,1,table10_train
right semimembranosus muscle,78,table10_train
right semitendinosus,1,table10_train
right semitendinosus muscle,78,table10_train
right soleus muscle,78,table10_train
right spinalis thoracis,1,table10_train
right subclavian artery,1761,table10_train
right submandibular gland,3586,table10_train+table7_test
right superficial temporal artery,25,table10_train
right superior cerebellar artery,51,table10_train
right superior frontal,10,table10_train
right superior gemellus,1,table10_train
right superior gemellus muscle,78,table10_train
right superior gluteal vein,1,table10_train
right superior parietal,10,table10_train
right superior temporal,10,table10_train
right superior terminal branch of the middle cerebral artery,1,table10_train
right supramarginal gyrus,10,table10_train
right talus bone,78,table10_train
right talus cartilage,78,table10_train
right tarsal,1597,table10_train
right temporal branch,1,table10_train
right temporal lobe,120,table10_train
right temporal lobes,50,table10_train
right temporal pole,10,table10_train
right temporomandibular joint,170,table10_train
right tensor fascia lata,1,table10_train
right tensor fasciae latae muscle,78,table10_train
right thalamus,3654,table10_train
right thyroid,2226,table10_train
right tibia,1597,table10_train
right tibia bone,78,table10_train
right tibia distal cartilage,78,table10_train
right tibia lateral cartilage,78,table10_train
right tibia medial cartilage,78,table10_train
right tibialis anterior muscle,78,table10_train
right tibialis posterior muscle,78,table10_train
right toes,1597,table10_train
right transverse temporal,10,table10_train
right transversus abdominis,1,table10_train
right tympanic cavity,120,table10_train
right ulna,1597,table10_train
right unknown cortex,10,table10_train
right ureter,1,table10_train
right vastus intermedius,1,table10_train
right vastus intermedius muscle,78,table10_train
right vastus lateralis,1,table10_train
right vastus lateralis muscle,78,table10_train
right vastus medialis muscle,78,table10_train
right ventral diencephalon,10,table10_train
right ventricle,2800,table10_train+table7_test
right ventricular cavity,279,table10_train
right vertebral artery,50,table10_train
right vestibular semicircular canal,120,table10_train
s1 vertebra,1228,table10_train
sacrum,5720,table10_train+table7_test
short gastric veins,1,table10_train
sigmoid veins,1,table10_train
skin,886,table10_train+table7_test
skull,3358,table10_train
small bowel,50,table10_train
specified,42,table10_train
spinal canal,1383,table10_train+table7_test
spinal cord,5433,table10_train+table7_test
spleen,6823,table10_train+table7_test
splenic artery,121,table10_train
splenic vein,1,table10_train
sternum,3454,table10_train
sternum manubrium,533,table10_train
stomach,5840,table10_train+table7_test
stones,20,table10_train
straight sinus,25,table10_train
stroke,453,table10_train
subclavian and carotid arteries,15,table10_train
subclavian artery,1,table10_train
subclavian vein,1,table10_train
superficial temporal veins,1,table10_train
superior mesenteric artery,171,table10_train
superior mesenteric vein,1,table10_train
superior posterior pancreaticoduodenal vein,1,table10_train
superior rectal artery,1,table10_train
superior sagittal sinus,26,table10_train
superior vena cava,1289,table10_train+table7_test
surrounding non-enhancing hyperintensity,1943,table10_train
t1 vertebra,4559,table10_train
t10 t11 disc,447,table10_train
t10 vertebra,5546,table10_train
t11 t12 disc,447,table10_train
t11 vertebra,5546,table10_train
t12 l1 disc,447,table10_train
t12 vertebra,5546,table10_train
t13 vertebra,80,table10_train
t2 vertebra,4559,table10_train
t3 vertebra,4559,table10_train
t4 vertebra,4559,table10_train
t5 vertebra,4559,table10_train
t6 vertebra,4559,table10_train
t7 vertebra,5099,table10_train
t8 vertebra,5099,table10_train
t9 t10 disc,447,table10_train
t9 vertebra,5546,table10_train
th left rib,4108,table10_train
th right rib,4108,table10_train
th ventricle,3644,table10_train
third a2 of anterior cerebral artery,50,table10_train
third a3 of anterior cerebral artery,50,table10_train
third ventricle,10,table10_train
thoracic aorta,30,table10_train
thymus,886,table10_train
thyroid gland,1446,table10_train
tibia,100,table10_train
tibial articular cartilage,100,table10_train
trachea,2018,table10_train+table7_test
transverse cervical veins,1,table10_train
true aortic lumen,39,table10_train
true lumen,100,table10_train
upper jawbone,532,table10_train
upper left canine,532,table10_train
upper left canine pulp,532,table10_train
upper left central incisor,532,table10_train
upper left central incisor pulp,532,table10_train
upper left first molar,532,table10_train
upper left first molar pulp,532,table10_train
upper left first premolar,532,table10_train
upper left first premolar pulp,532,table10_train
upper left lateral incisor,532,table10_train
upper left lateral incisor pulp,532,table10_train
upper left second molar,532,table10_train
upper left second molar pulp,532,table10_train
upper left second premolar,532,table10_train
upper left second premolar pulp,532,table10_train
upper right canine,532,table10_train
upper right canine pulp,532,table10_train
upper right central incisor,532,table10_train
upper right central incisor pulp,532,table10_train
upper right first molar,532,table10_train
upper right first molar pulp,532,table10_train
upper right first premolar,532,table10_train
upper right first premolar pulp,532,table10_train
upper right lateral incisor,532,table10_train
upper right lateral incisor pulp,532,table10_train
upper right second molar,532,table10_train
upper right second molar pulp,532,table10_train
upper right second premolar,532,table10_train
upper right second premolar pulp,532,table10_train
urinary bladder,5098,table10_train+table7_test
uterus,583,table10_train
vein of galen,25,table10_train
venous system,20,table10_train
vertebrae,616,table10_train
vertebral artery,1,table10_train
vestibular schwannoma,210,table10_train
white matter,519,table10_train
white matter hyperintensities,60,table10_train
white matter lesions,30,table10_train
carcinoma,,table7_test
esophageal cancer,,table7_test
fdg-avid breast cancer,,table7_test
inferior constrictor muscle,,table7_test
large intestine,,table7_test
left hipbone,,table7_test
middle constrictor muscle,,table7_test
ms lesion,,table7_test
portal vessels,,table7_test
right hipbone,,table7_test
small intestine,,table7_test
soft tissue lesion,,table7_test
superior constrictor muscle,,table7_test
tumor,,table7_test
