Model,Omics,Subtype,F1,N
CHIEF (MEAN),Pathomics,Lymphocyte Depleted,0.9258634430203058,88
CHIEF (MEAN),Pathomics,Wound Healing,0.8465808441980108,198
CHIEF (MEAN),Pathomics,Inflammatory,0.7560568086883876,282
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.9488988939562564,256
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.9063700118751541,88
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.8664347462395388,198
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.6805210918114144,282
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.9454406119069627,256
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.9848053181386516,88
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.8955226305587403,198
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.8590725178960473,282
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.9136199169097965,256
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.844459706959707,88
CHIEF (ABMIL),Pathomics,Wound Healing,0.7983182052424512,198
CHIEF (ABMIL),Pathomics,Inflammatory,0.7781461699852731,282
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.946730178105023,256
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.9529822368078347,88
UNI (SPARRA),Pathomics,Wound Healing,0.8484860594394542,198
UNI (SPARRA),Pathomics,Inflammatory,0.8814814814814815,282
LVMMed (MEAN),Radiomics,IFN-gamma Dominant,0.6452587810220181,256
LVMMed (MEAN),Radiomics,Lymphocyte Depleted,0.5823702935499669,88
LVMMed (MEAN),Radiomics,Wound Healing,0.5811557692236351,198
LVMMed (MEAN),Radiomics,Inflammatory,0.36441685765215176,282
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.9421699334835761,256
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.9768586741766819,88
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.8130060691955467,198
