Model,Omics,Subtype,F1,N
CHIEF (MEAN),Pathomics,Wound Healing,0.46374807987711214,97
CHIEF (MEAN),Pathomics,Inflammatory,0.4673223434414258,228
CHIEF (MEAN),Pathomics,IFN-gamma Dominant,0.4884646543070456,115
LVMMed+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.4826833607006021,57
LVMMed+CHIEF (MEAN),Radiopathomics,Wound Healing,0.3109157145222719,97
LVMMed+CHIEF (MEAN),Radiopathomics,Inflammatory,0.32559540289930783,228
LVMMed+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.540269877971491,115
LVMMed+CHIEF (SPARRA),Radiopathomics,Lymphocyte Depleted,0.42689415847310586,57
LVMMed+CHIEF (SPARRA),Radiopathomics,Wound Healing,0.37673305637015314,97
LVMMed+CHIEF (SPARRA),Radiopathomics,Inflammatory,0.4740314148567271,228
LVMMed+CHIEF (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5225956463127516,115
CHIEF (ABMIL),Pathomics,Lymphocyte Depleted,0.3759119748509669,57
CHIEF (ABMIL),Pathomics,Wound Healing,0.35341885917228383,97
CHIEF (ABMIL),Pathomics,Inflammatory,0.488140386104187,228
CHIEF (ABMIL),Pathomics,IFN-gamma Dominant,0.4254734848484848,115
UNI (SPARRA),Pathomics,Lymphocyte Depleted,0.4859571587832458,57
UNI (SPARRA),Pathomics,Wound Healing,0.361005661005661,97
UNI (SPARRA),Pathomics,Inflammatory,0.6260915404939658,228
UNI (SPARRA),Pathomics,IFN-gamma Dominant,0.6323406478578892,115
LVMMed (MEAN),Radiomics,Lymphocyte Depleted,0.14042136591478696,57
LVMMed (MEAN),Radiomics,Wound Healing,0.10460823218176159,97
LVMMed (MEAN),Radiomics,Inflammatory,0.102960835630002,228
LVMMed (MEAN),Radiomics,IFN-gamma Dominant,0.17161409131803868,115
LVMMed+UNI (ABMIL),Radiopathomics,Lymphocyte Depleted,0.4205664067733034,57
LVMMed+UNI (ABMIL),Radiopathomics,Wound Healing,0.3854257682615891,97
LVMMed+UNI (ABMIL),Radiopathomics,Inflammatory,0.5202352141058252,228
LVMMed+UNI (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4981044333602429,115
UNI (MEAN),Pathomics,Lymphocyte Depleted,0.5103937930024887,57
UNI (MEAN),Pathomics,Wound Healing,0.4422112208966312,97
UNI (MEAN),Pathomics,Inflammatory,0.5450711047519688,228
UNI (MEAN),Pathomics,IFN-gamma Dominant,0.48333495589867403,115
LVMMed (SPARRA),Radiomics,Lymphocyte Depleted,0.08188876341050255,57
LVMMed (SPARRA),Radiomics,Wound Healing,0.08239045731437697,97
LVMMed (SPARRA),Radiomics,Inflammatory,0.12688213905879092,228
LVMMed (SPARRA),Radiomics,IFN-gamma Dominant,0.2313314399521296,115
LVMMed+UNI (MEAN),Radiopathomics,Lymphocyte Depleted,0.4590964590964592,57
LVMMed+UNI (MEAN),Radiopathomics,Wound Healing,0.39050436819552264,97
LVMMed+UNI (MEAN),Radiopathomics,Inflammatory,0.5505648012205462,228
LVMMed+UNI (MEAN),Radiopathomics,IFN-gamma Dominant,0.5135708799410378,115
LVMMed (ABMIL),Radiomics,Lymphocyte Depleted,0.13390085200746965,57
LVMMed (ABMIL),Radiomics,Wound Healing,0.12429681429681431,97
LVMMed (ABMIL),Radiomics,Inflammatory,0.10370933571574749,228
LVMMed (ABMIL),Radiomics,IFN-gamma Dominant,0.16103190287972896,115
LVMMed+UNI (SPARRA),Radiopathomics,Lymphocyte Depleted,0.36173570019723866,57
LVMMed+UNI (SPARRA),Radiopathomics,Wound Healing,0.32942656377438984,97
LVMMed+UNI (SPARRA),Radiopathomics,Inflammatory,0.5148336648336649,228
LVMMed+UNI (SPARRA),Radiopathomics,IFN-gamma Dominant,0.6225789657005627,115
UNI (ABMIL),Pathomics,Lymphocyte Depleted,0.45423280423280415,57
UNI (ABMIL),Pathomics,Wound Healing,0.3681037807177625,97
UNI (ABMIL),Pathomics,Inflammatory,0.4889461519589229,228
UNI (ABMIL),Pathomics,IFN-gamma Dominant,0.6039260739260739,115
FMCIB+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.30317460317460315,57
FMCIB+CONCH (MEAN),Radiopathomics,Wound Healing,0.353062936453465,97
FMCIB+CONCH (MEAN),Radiopathomics,Inflammatory,0.4137948037281972,228
FMCIB+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.5418975460632491,115
CONCH (SPARRA),Pathomics,Lymphocyte Depleted,0.40544217687074824,57
CONCH (SPARRA),Pathomics,Wound Healing,0.43170002040969785,97
CONCH (SPARRA),Pathomics,Inflammatory,0.5492535823807109,228
CONCH (SPARRA),Pathomics,IFN-gamma Dominant,0.5619142811189672,115
LVMMed+CONCH (ABMIL),Radiopathomics,Lymphocyte Depleted,0.45452380952380955,57
LVMMed+CONCH (ABMIL),Radiopathomics,Wound Healing,0.5094153335512727,97
LVMMed+CONCH (ABMIL),Radiopathomics,Inflammatory,0.4948353041470451,228
LVMMed+CONCH (ABMIL),Radiopathomics,IFN-gamma Dominant,0.4411437451437452,115
CONCH (MEAN),Pathomics,Lymphocyte Depleted,0.4668234064785788,57
CONCH (MEAN),Pathomics,Wound Healing,0.38371126228269087,97
CONCH (MEAN),Pathomics,Inflammatory,0.40998103984755824,228
CONCH (MEAN),Pathomics,IFN-gamma Dominant,0.5571258602508602,115
LVMMed+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.4643808298980712,57
LVMMed+CONCH (MEAN),Radiopathomics,Wound Healing,0.43901201479972823,97
LVMMed+CONCH (MEAN),Radiopathomics,Inflammatory,0.3617276221889876,228
LVMMed+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.5356045217632047,115
LVMMed+CONCH (SPARRA),Radiopathomics,Lymphocyte Depleted,0.4271711867770981,57
LVMMed+CONCH (SPARRA),Radiopathomics,Wound Healing,0.4249586035104223,97
LVMMed+CONCH (SPARRA),Radiopathomics,Inflammatory,0.5048872596041364,228
LVMMed+CONCH (SPARRA),Radiopathomics,IFN-gamma Dominant,0.5443698100082605,115
CONCH (ABMIL),Pathomics,Lymphocyte Depleted,0.42165856309078814,57
CONCH (ABMIL),Pathomics,Wound Healing,0.4420874221030523,97
CONCH (ABMIL),Pathomics,Inflammatory,0.4549952717664316,228
CONCH (ABMIL),Pathomics,IFN-gamma Dominant,0.43513944631720347,115
FMCIB+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.3829381145170619,57
FMCIB+CHIEF (MEAN),Radiopathomics,Wound Healing,0.3714927929213644,97
FMCIB+CHIEF (MEAN),Radiopathomics,Inflammatory,0.41627323264981514,228
FMCIB+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.418668472627472,115
pyradiomics+CONCH (MEAN),Radiopathomics,Lymphocyte Depleted,0.5014167650531287,57
pyradiomics+CONCH (MEAN),Radiopathomics,Wound Healing,0.4055762273153577,97
pyradiomics+CONCH (MEAN),Radiopathomics,Inflammatory,0.40999856306793575,228
pyradiomics+CONCH (MEAN),Radiopathomics,IFN-gamma Dominant,0.5202534849903894,115
pyradiomics+CHIEF (MEAN),Radiopathomics,Lymphocyte Depleted,0.42578527423728657,57
pyradiomics+CHIEF (MEAN),Radiopathomics,Wound Healing,0.4582410954909447,97
pyradiomics+CHIEF (MEAN),Radiopathomics,Inflammatory,0.4896710122683838,228
pyradiomics+CHIEF (MEAN),Radiopathomics,IFN-gamma Dominant,0.47116525887855676,115
