"outcome_id","big_task","subtask","class_label","comparison","p_value","estimate","conf_low","conf_high","statistic","parameter","method","log2_p"
"phenotype | MolecularSubtype | Class 4","phenotype","MolecularSubtype","Class 4","pathomics vs radiopathomics",0.257826513934423,-0.0851282051282051,-0.264416236424086,0.0941598261676756,-1.31829094632883,4,"Paired t-test",1.95552746208455
"phenotype | MolecularSubtype | Class 5","phenotype","MolecularSubtype","Class 5","radiomics vs pathomics",0.0034223102500165,-0.468774703557312,-0.678375570540938,-0.259173836573687,-6.2095507993959,4,"Paired t-test",8.1908137311845
"phenotype | MolecularSubtype | Class 5","phenotype","MolecularSubtype","Class 5","radiomics vs radiopathomics",0.00197524033944838,-0.48695652173913,-0.674813961874664,-0.299099081603597,-7.19698964412227,4,"Paired t-test",8.98375607925352
"phenotype | MolecularSubtype | Class 5","phenotype","MolecularSubtype","Class 5","pathomics vs radiopathomics",0.373900966300059,-0.0181818181818182,-0.0686626382763235,0.0322990019126872,-1,4,"Paired t-test",1.41927189522243
"phenotype | MolecularSubtype | Class 6","phenotype","MolecularSubtype","Class 6","radiomics vs pathomics",3.20497550162657e-05,-0.331144600102155,-0.375516041190126,-0.286773159014184,-20.72064331297,4,"Paired t-test",14.9293271453048
"phenotype | MolecularSubtype | Class 6","phenotype","MolecularSubtype","Class 6","radiomics vs radiopathomics",0.00148739503228128,-0.357927772431607,-0.48601660366475,-0.229838941198464,-7.75841892079775,4,"Paired t-test",9.39299642582179
"phenotype | MolecularSubtype | Class 6","phenotype","MolecularSubtype","Class 6","pathomics vs radiopathomics",0.575411845326646,-0.0267831723294518,-0.148886787041518,0.095320442382614,-0.609007422844356,4,"Paired t-test",0.797333174439096
"phenotype | MolecularSubtype | Class 7","phenotype","MolecularSubtype","Class 7","radiomics vs pathomics",0.0007354186534065,-0.165422980528244,-0.214663489829763,-0.116182471226724,-9.32743854785227,4,"Paired t-test",10.4091466095411
"phenotype | MolecularSubtype | Class 7","phenotype","MolecularSubtype","Class 7","radiomics vs radiopathomics",0.047267517420533,-0.207625152625153,-0.411204957760944,-0.00404534748936112,-2.83161602565412,4,"Paired t-test",4.40300709616216
"phenotype | MolecularSubtype | Class 7","phenotype","MolecularSubtype","Class 7","pathomics vs radiopathomics",0.625021083571654,-0.0422021720969089,-0.263845625162591,0.179441280968773,-0.528650914459697,4,"Paired t-test",0.678023238470655
"phenotype | MolecularSubtype | Class 8","phenotype","MolecularSubtype","Class 8","radiomics vs pathomics",0.00200880155506599,-0.261936659831397,-0.363440132495326,-0.160433187167467,-7.16480666103533,4,"Paired t-test",8.95944923411152
"phenotype | MolecularSubtype | Class 8","phenotype","MolecularSubtype","Class 8","radiomics vs radiopathomics",0.0322396158059721,-0.275390186696688,-0.512747011720745,-0.0380333616726311,-3.22133452786129,4,"Paired t-test",4.95502163815827
"phenotype | MolecularSubtype | Class 8","phenotype","MolecularSubtype","Class 8","pathomics vs radiopathomics",0.883073509452056,-0.0134535268652916,-0.251828443102358,0.224921389371775,-0.156698445467466,4,"Paired t-test",0.179394558137291
"phenotype | MolecularSubtype | Class 9","phenotype","MolecularSubtype","Class 9","radiomics vs pathomics",0.143655998362297,-0.13271425751975,-0.335694258305707,0.0702657432662083,-1.81532096390729,4,"Paired t-test",2.79930986096668
"phenotype | MolecularSubtype | Class 9","phenotype","MolecularSubtype","Class 9","radiomics vs radiopathomics",0.0352552009744559,-0.151643865923042,-0.286247032958684,-0.0170406988873999,-3.12794177542505,4,"Paired t-test",4.82602008498493
